Value,Value_HeatPump,Value_OtherAppliances
0.9294479,0.7354852,0.6247597
0.9088119,0.8690685,0.5863666
1.0091007,1.1085563,0.8798762
0.6762799,0.95879364,0.6883871
0.5555843,0.92060065,0.5801286
0.5982976,0.9557601,0.6234291
0.67900574,1.0430598,0.5320793
0.23568413,-0.0002942104,0.17994153
0.024785617,-0.124612816,0.089070305
0.26457402,0.17943466,0.2557412
0.36580044,0.38990688,0.28232878
0.34579277,0.40625474,0.22534963
0.5031288,0.64404845,0.41411552
0.30019823,0.6771802,0.48243192
0.19483781,0.104292445,0.15043426
0.3647896,0.29656586,0.29946247
0.100940935,0.25174433,0.17947719
0.12090573,0.28416914,0.2381022
0.02304054,0.22290504,0.24822965
0.035220567,0.0956983,0.31565267
0.011746775,0.12049524,0.2982616
-0.091619976,-0.040269777,-0.056057774
-0.03368645,0.24603364,0.055130266
-0.23831636,0.09646144,0.11605006
-0.05398626,0.124237664,0.37301505
-0.00016899407,0.037547074,0.5800813
-0.025037609,-0.20438331,0.63118565
0.067204185,-0.14390397,0.6134797
0.5009959,0.3714279,0.43054113
0.36483222,0.38443118,0.29544657
0.6849687,0.65694684,0.6027096
0.287062,0.33918077,0.36006597
0.30941796,0.548093,0.38824883
0.36557603,0.6671515,0.43314806
0.28143075,0.67098415,0.21956138
0.8384912,0.6748862,0.7553106
0.66520023,0.4690348,0.77901
0.8743212,0.6378147,0.93830305
0.66406864,0.47603595,0.6784112
0.73498726,0.6761167,0.7170035
0.67468816,0.8250154,0.61124486
0.740853,1.0677938,0.7246683
0.29308853,0.1886305,0.2396752
0.09952688,0.20851749,0.18718246
-0.07247325,0.037122972,0.15567084
0.11171521,0.13505721,0.18271069
-0.023562282,-0.037856944,0.022455504
0.05429921,0.11117133,0.1238892
0.22610617,0.31152797,0.15329549
0.19997928,0.13020903,0.15912609
0.38392442,0.278342,0.23543335
0.31355906,0.2631438,0.25706
0.17792478,0.29071623,0.22279328
0.12780233,0.3568036,0.26460308
0.3139209,0.44263232,0.43681547
0.38330635,0.47817877,0.49366835
0.10748716,0.053797852,0.14154786
-0.15981185,-0.17771971,0.06460815
-0.14906967,-0.13195387,0.12967582
-0.037488915,-0.076240115,0.2158981
-0.04351803,-0.0055181943,0.27109548
-0.043943092,0.05939558,0.29048097
-0.1358085,0.13069096,0.1905095
0.23815995,0.20407417,0.19753724
0.25076243,0.35930297,0.24650224
0.3392544,0.5534537,0.35449108
0.4080609,0.7619424,0.49554938
0.2702304,0.6833522,0.40867612
0.3452531,0.7717111,0.44062266
0.37470603,0.7286046,0.45254284
-0.015905358,-0.0066976547,0.03652547
0.019998252,0.041792214,0.123343565
-0.059088208,-0.09542311,0.181447
0.09459677,-0.039690457,0.2695618
0.11802165,0.16761151,0.18338047
0.0068954006,0.19380848,0.112051316
0.07596206,0.39117774,0.03559684
0.6521918,0.56344044,0.58006734
0.6604867,0.59214276,0.72669965
0.6657829,0.66578114,0.9010574
0.5131075,0.59580696,0.75253826
0.6501298,0.79447186,0.82248014
0.6228316,0.8046129,0.76383024
0.67943954,0.8723935,0.6996182
0.17462584,0.13224891,0.23988879
0.036011256,0.0775564,0.12198865
0.030889897,0.17777714,0.13835618
0.28046048,0.3901569,0.1299301
0.2016455,0.35133392,0.060088135
0.1361343,0.19129245,0.15085316
0.2638407,0.48385093,0.28531632
0.25440472,0.07793621,0.20469965
0.050290972,-0.09742963,0.030222237
0.13074401,-0.051008224,0.041458257
0.102148384,-0.07790564,0.09474424
0.07105682,-0.059648372,0.16175109
0.08069242,0.11868604,0.15634194
0.021379054,0.2424153,0.10732605
0.34038025,0.1961017,0.2840753
0.019842295,0.045317337,0.07072711
0.13517004,0.20351471,0.21749431
0.004478775,0.013237363,0.17001456
0.05432589,0.020019157,0.13071518
0.092897,0.09084599,0.31372654
-0.051647283,0.1319551,0.34808692
0.33093366,0.20982714,0.22325113
0.6220745,0.6286063,0.6028574
0.44343823,0.5804266,0.5947672
0.5189053,0.57047546,0.60714036
0.474796,0.6369757,0.5537562
0.43019205,0.6972581,0.5063376
0.5891206,0.96790314,0.54992867
0.4672901,0.37128124,0.35244212
0.062199697,-0.028451962,0.055637926
-0.03762547,-0.14076743,0.12276112
0.09654363,-0.010235975,0.29221272
-0.02864173,-0.07808917,0.29174805
-0.07724793,-0.14768787,0.4437197
